FECHA DE CORTE,FK_FUE_FINANCIAMIENTO,VC_RUC_ENTIDAD,CH_VIATICOS_TIPO,CH_VIATICOS_RUTA,VC_VIATICOS_AREA,UUID,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,DT_VIATICOS_FECHAS,VIATICOS_FECHAS_RETORNO,VC_VIATICOS_RUTA,VC_VIATICOS_AUTORIZACION,DC_VIATICOS_COSTO_PASAJES_N,DC_VIATICOS_VIA_N,DC_VIATICOS_TOTAL_N,VC_VIATICOS_RESOLUCION
20230717,9,20145496170,2,1,FACULTAD DE TRABAJO SOCIAL,iQ3N3n0Wh8x8j,PUNO,PUNO,PUNO,210101,20160217,20160222,Puno - España - Puno,FACULTAD DE TRABAJO SOCIAL,1397.0,0.0,1397.0,R.DECANATO 023-2016-D-FTS-UNA
20230717,9,20145496170,2,1,[02111] MAESTRIA SALUD PUBLICA,jB3c0K4Bk8f3S,PUNO,PUNO,PUNO,210101,20160519,20160521,Puno - Mexico - Puno,[02111] MAESTRIA SALUD PUBLICA,3500.0,0.0,3500.0,R.RECTORAL 1556-2016-R-UNA
20230717,0,20145496170,2,1,[02400] OFICINA UNIVERSITARIA DE INVESTIGACION,qd7B2L0aY3q1b,PUNO,PUNO,PUNO,210101,20160622,20160628,PUNO-ECUADOR-PUNO,AUTORIZACION DE VIAJE N°00775,1380.0,750.91,2130.91,OFICIO NRO 199-2016-OUI-UNA-P/AUTORIZA VICE
20230717,0,20145496170,2,1,FACULTAD DE CIENCIAS BIOLOGICAS,dc5y4O1nV1l6d,PUNO,PUNO,PUNO,210101,20161123,20161203,PUNO-LIMA-BRASIL-LIMA-PUNO,R. RECTORAL 3694-2016-R-UNA,1200.0,0.0,1200.0,R. RECTORAL 3694-2016-R-UNA
20230717,0,20145496170,2,1,FACULTAD DE CIENCIAS BIOLOGICAS,sP0t9z0uk6s3D,PUNO,PUNO,PUNO,210101,20161123,20161203,PUNO-LIMA-BRASIL-LIMA-PUNO,R.RECTORAL 3695-2016-R-UNA,500.0,0.0,500.0,R.RECTORAL 3695-2016-R-UNA
20230717,0,20145496170,2,1,FACULTAD DE CIENCIAS BIOLOGICAS,cx1i1F5px3e8g,PUNO,PUNO,PUNO,210101,20161123,20161203,PUNO-LIMA-BRASIL-LIMA-PUNO,R. RECTORAL 3693-2016-R-UNA,500.0,0.0,500.0,R. RECTORAL 3693-2016-R-UNA
20230717,0,20145496170,2,1,FACULTAD DE CIENCIAS BIOLOGICAS,mX0H2o9RA3u8i,PUNO,PUNO,PUNO,210101,20161123,20161203,PUNO-LIMA-BRASIL-LIMA-PUNO,R. RECTORAL 3696-2016-R-UNA,1200.0,0.0,1200.0,R. RECTORAL 3696-2016-R-UNA
20230717,9,20145496170,2,1,MAESTRIA ECONOMIA,OT4T3m4rr4E0f,PUNO,PUNO,PUNO,210101,20161010,20161012,PUNO-MEXICO-PUNO,R. RECTORAL 3557-2016-R-UNA/R.DIRECTORAL 0917-2016-DG-EPG-UNA,1500.0,4000.0,5500.0,R. RECTORAL 3557-2016-R-UNA/R.DIRECTORAL 0917-2016-DG-EPG-UNA
20230717,9,20145496170,2,1,MAESTRIA ECONOMIA,uk6p5h2Rb3i2G,PUNO,PUNO,PUNO,210101,20161010,20161012,PUNO-MEXICO-PUNO,R. RECTORAL 3557-2016-R-UNA/R.DIRECTORAL 0917-2016-DG-EPG-UNA,1500.0,4000.0,5500.0,R. RECTORAL 3558-2016-R-UNA
20230717,9,20145496170,2,1,MAESTRIA DESARROLLO RURAL,nd4e1F8KG5J2T,PUNO,PUNO,PUNO,210101,20161010,20161012,PUNO-MEXICO-PUNO,R. RECTORAL 3596-2016-R-UNA/R.DIRECTORAL 0930-2016-DG-EPG-UNA,1500.0,4000.0,5500.0,R. RECTORAL 3596-2016-R-UNA/R.DIRECTORAL 0930-2016-DG-EPG-UNA
